CLEI,ECI,Country,SER-NUM
C5JAB3H1AA,663726,US,GRINGS00102028974810
C5JAB3H1AA,663726,US,GRINGS00102028974811
C5JAB9D1AA,568009,US,GRINGS00102028980001
C5JAB9D1AA,568009,US,GRINGS00102028980002
C5JAB9D1AA,568009,US,GRINGS00102028980003
C5JAB9D1AA,568009,US,GRINGS00102028980004
C5JAB9D1AA,568009,US,GRINGS00102028980005
C5JAB9D1AA,568009,US,GRINGS00102028980006
C5JAB9D1AA,568009,US,GRINGS00102028980007
C5JAB9D1AA,568009,US,GRINGS00102028980008
C5JAB9D1AA,568009,US,GRINGS00102028980009
C5JAB9D1AA,568009,US,GRINGS00102028980010
C5JAB9D1AA,568009,US,GRINGS00102028980011
C5JAB9D1AA,568009,US,GRINGS00102028980012
C5JAB9D1AA,568009,US,GRINGS00102028980013
C5JAB9D1AA,568009,US,GRINGS00102028980014
C5JAB9D1AA,568009,US,GRINGS00102028980015
C5JAB9D1AA,568009,US,GRINGS00102028980016
C5JAB9D1AA,568009,US,GRINGS00102028980017
C5JAB9D1AA,568009,US,GRINGS00102028980018
C5JAB9D1AA,568009,US,GRINGS00102028980019
C5JAB9D1AA,568009,US,GRINGS00102028980020
C5JAB9D1AB,860192,US,GRINGS00102028980021
C5JAB9D1AB,860192,US,GRINGS00102028980022
C5JAB9D1AB,860192,US,GRINGS00102028980023
C5JAB9D1AB,860192,US,GRINGS00102028980024
C5JAB9D1AB,860192,US,GRINGS00102028980025
C5JAB9D1AB,860192,US,GRINGS00102028980026
C5JAB9D1AB,860192,US,GRINGS00102028980027
C5JAB9D1AB,860192,US,GRINGS00102028980028
C5JAB9D1AB,860192,US,GRINGS00102028980029
C5JAB9D1AB,860192,US,GRINGS00102028980030
C5JAB9D1AB,860192,US,GRINGS00102028980031
C5JAB9D1AB,860192,US,GRINGS00102028980032
C5JAB9D1AB,860192,US,GRINGS00102028980033
C5JAB9D1AB,860192,US,GRINGS00102028980034
C5JAB9D1AB,860192,US,GRINGS00102028980035
C5JAB9D1AB,860192,US,GRINGS00102028980036
C5JAB9D1AB,860192,US,GRINGS00102028980037
C5JAB9D1AB,860192,US,GRINGS00102028980038
C5JAB9D1AB,860192,US,GRINGS00102028980039
C5JAB9D1AB,860192,US,GRINGS00102028980040
C5JAN9J1AA,664122,US,GRINGS00102028980041
C5JAN9J1AA,664122,US,GRINGS00102028980042
C5JAN9J1AA,664122,US,GRINGS00102028980043
C5JAN9J1AA,664122,US,GRINGS00102028980044
C5JAN9J1AA,664122,US,GRINGS00102028980045
C5JAN9J1AA,664122,US,GRINGS00102028980046
C5JAN9J1AA,664122,US,GRINGS00102028980047
C5JAN9J1AA,664122,US,GRINGS00102028980048
C5JAN9J1AA,664122,US,GRINGS00102028980049
C5JAN9J1AA,664122,US,GRINGS00102028980050
C5JAN9J1AA,664122,US,GRINGS00102028980051
C5JAN9J1AA,664122,US,GRINGS00102028980052
C5JAN9J1AA,664122,US,GRINGS00102028980053
C5JAN9J1AA,664122,US,GRINGS00102028980054
C5JAN9J1AA,664122,US,GRINGS00102028980055
C5JAN9J1AA,664122,US,GRINGS00102028980056
C5JAN9J1AA,664122,US,GRINGS00102028980057
C5JAN9J1AA,664122,US,GRINGS00102028980058
C5JAN9J1AA,664122,US,GRINGS00102028980059
C5JAN9J1AA,664122,US,GRINGS00102028980060
C5JAN9J1AB,746122,US,GRINGS00102028980061
C5JAN9J1AB,746122,US,GRINGS00102028980062
C5JAN9J1AB,746122,US,GRINGS00102028980063
C5JAN9J1AB,746122,US,GRINGS00102028980064
C5JAN9J1AB,746122,US,GRINGS00102028980065
C5JAN9J1AB,746122,US,GRINGS00102028980066
C5JAN9J1AB,746122,US,GRINGS00102028980067
C5JAN9J1AB,746122,US,GRINGS00102028980068
C5JAN9J1AB,746122,US,GRINGS00102028980069
C5JAN9J1AB,746122,US,GRINGS00102028980070
